Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,Z002,BB 8 KZATI POLOS SNI,BB,GD. UTAMA - C,100,BTG,35052,3505200,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,Z001,BB 13 ULIR KZATI TS280,BB,GD. UTAMA - C,0,BTG,93750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,WM03,WIREMESH M6,WR,GD. UTAMA - C,79,LBR,257000,20303000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,WM02,WIREMESH M10,WR,GD. UTAMA - C,0,LBR,860261,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,WM01,WIREMESH M8,WR,GD. UTAMA - C,121,LBR,505000,61105000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,WM002,WIREMESH M10,WR,GD. UTAMA - C,99,LBR,840000,83160000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,SKP29,SKRUP 6 x 20,SKRUP,GD. UTAMA - C,0,PAK,16275,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,SG01,SENG GELOMBANG 80x180,SENG,GD. UTAMA - C,455,LBR,35000,15925000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM990,BB 12 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,77575,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM99,BB 10 IBD ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,58830,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM924,BB 6 SHS SNI TP280,BBF,GD. UTAMA - C,0,BTG,25000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM923,BB 8 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,42186,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM922,BB 16 KZATI ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,140600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM921,BB 13 IBD ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,111250,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM920,BB 10 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,54020,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM919,BB 12 KZTV POLOS TP280,BB,GD. UTAMA - C,0,BTG,74900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM918,BB 12 KZATI POLOS TP280,BB,GD. UTAMA - C,0,BTG,78110,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM916,BB 10 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,54020,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM915,BB 10 SGS SNI TP280,BB,GD. UTAMA - C,0,BTG,44900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM914,BB 8 SGS SNI TP280,BB,GD. UTAMA - C,0,BTG,26800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM913,BB 10 PSNI ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,55500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM912,BB 12 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,85065,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM909,BB 8 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,34602,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM908,BB 6 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,22800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM907,BB 10 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,54575,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM906,BB 16 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,137750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM904,BB 12 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,77575,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM902,BB 8 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,34602,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM901,BB 6 TY SNI TP280,BB,GD. UTAMA - C,0,BTG,20000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM88,BB 6 KPSS SNI TP280,BBF,GD. UTAMA - C,0,BTG,25000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM 810,BB 10 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,51800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM75,"PAKU MACAN 5""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM74,"PAKU MACAN 4""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM73,"PAKU MACAN 3""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM72,"PAKU MACAN 2""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM71,"PAKU MACAN 1 1/2""",PAKU,GD. UTAMA - C,0,DUS,351000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM64,"PAKU HS 5""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM63,"PAKU HS 4""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM62,"PAKU HS 3""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM61,"PAKU HS 2""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM60,"PAKU HS 1 1/2""",PAKU,GD. UTAMA - C,0,DUS,351000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM56,KAWAT BENDRAT @20KG,BK,GD. UTAMA - C,0,ROLL,246000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM521,BB 13 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,92500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM458,KAWAT STIK BENDRAT @20KG 4 CM,BK,GD. UTAMA - C,0,DUS,261120,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM3472,SOLVENER 5 LTR GALON @ 5 PCS,BK,GD. UTAMA - C,0,DUS,287500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM3471,SOLVENER 1 LTR @24 PCS,BK,GD. UTAMA - C,0,DUS,288000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM3464,KAWAT BWG 20 @25KG,BK,GD. UTAMA - C,0,ROLL,414000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM3462,KAWAT BWG 16 @50 KG,BK,GD. UTAMA - C,0,ROLL,721000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM3461,KAWAT BWG 14 @50KG,BK,GD. UTAMA - C,1,ROLL,689000,689000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM28,BB 8 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,34602,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2705,BB 10 JAS SNI TP280,BBF,GD. UTAMA - C,0,BTG,61420,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2359,"PAKU MACAN 6"" @ 27 KG",PAKU,GD. UTAMA - C,0,DUS,310500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2358,"PAKU MACAN 5"" @ 27 KG",PAKU,GD. UTAMA - C,0,DUS,310500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2357,"PAKU MACAN 4"" @ 27 KG",PAKU,GD. UTAMA - C,0,DUS,310500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2356,"PAKU MACAN 3"" @27 KG",PAKU,GD. UTAMA - C,0,DUS,310500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2355,"PAKU MACAN 2"" @27 KG",PAKU,GD. UTAMA - C,0,DUS,310500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2354,"PAKU MACAN 1 1/2"" @27 KG",PAKU,GD. UTAMA - C,0,DUS,315900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2353,"PAKU PERWIRA 6""",PAKU,GD. UTAMA - C,0,DUS,336000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2352,"PAKU PERWIRA 5""",PAKU,GD. UTAMA - C,0,DUS,336000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2351,"PAKU PERWIRA 4""",PAKU,GD. UTAMA - C,0,DUS,336000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2350,"PAKU PERWIRA 3""",PAKU,GD. UTAMA - C,0,DUS,336000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2349,"PAKU PERWIRA 2""",PAKU,GD. UTAMA - C,0,DUS,336000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2348,"PAKU PERWIRA 1 1/2""",PAKU,GD. UTAMA - C,0,DUS,366000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2347,"PAKU NAIL 2000 3/4""",PAKU,GD. UTAMA - C,0,DUS,532500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2346,"PAKU NAIL 2000 1 1/4""",PAKU,GD. UTAMA - C,0,DUS,555000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2345,"PAKU NAIL 2000 1""",PAKU,GD. UTAMA - C,0,DUS,525000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM227,BB 10 JAS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,61420,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2115,BB 10 TJ ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,53650,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM2005,BB 8 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,39816,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM16,BB 8 STD SNI TP280,BBF,GD. UTAMA - C,6,BTG,42186,253116,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM1525,BB 10 STD SNI TP280,BBF,GD. UTAMA - C,0,BTG,63640,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM124,BB 6 BKI SNI TP280,BBF,GD. UTAMA - C,0,BTG,25000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM123,BB 6 KHS SNI TP280,BB,GD. UTAMA - C,0,BTG,25000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM1207,BB 10 LTS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,58830,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM1205,"PAKU ASBES 3"" ( 7 CM )",PAKU,GD. UTAMA - C,0,DUS,140000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0925,BB 8 JAS SNI TP280,BBF,GD. UTAMA - C,0,BTG,39342,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM080,"PAKU A Y 5""",PAKU,GD. UTAMA - C,0,DUS,330000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
